State,POPULATION 2011,,2009 % of LR,LR 2009,2010 % of LR,LR 2010,2011 % of LR,LR 2011,,"2,009.00","2,010.00","2,011.00",,"2,009.00",
A&N Islands,"380,581.00",,82.30,"3,14,033.75",83.40,"3,18,231.04",0.86,"3,29,296.63",,"4,209.00","4,223.00","4,352.00",,BJP,Bishnu Pada Roy
Andhra Pradesh,"49,577,103.00",,60.50,"5,126,467.50",76.10,"6,448,333.50",0.15,"12,710.25",,"93,000.00","95,370.00","99,687.00",,INC,Dr.Y.S. Rajasekhara Reddy
Arunachal Pradesh,"1,383,727.00",,54.30,"67,386.30",78.30,"97,170.30",0.14,173.74,,"3,423.00","3,506.00","3,559.00",,INC,Dorjee Khandu
Assam,"31,205,576.00",,63.30,"1,934,954.40",85.30,"2,607,450.40",0.11,"3,362.48",,"27,900.00","28,694.00","28,694.00",,INC,Shri Tarun Gogoi
Bihar,"104,099,452.00",,47.00,"4,592,840.00",71.90,"7,026,068.00",0.20,"19,544.00",,"46,973.00","49,915.00","54,196.00",,JD(U),Nitish Kumar
Chandigarh,"1,055,450.00",,81.90,"117,772.20",82.60,"118,778.80",0.86,"1,236.68",,"4,121.00","4,424.00","5,528.00",,INC,Pawan Kumar Bansal
Chattisgarh,"25,545,198.00",,63.10,"1,530,679.80",80.80,"1,960,046.40",0.20,"4,851.60",,"24,601.00","26,046.00","27,597.00",,BJP,Raman Singh
Dadra and Nagar Haveli,"292,882.00",,57.60,"166,942.00",84.40,"234,305.00",0.78,"228,447.00",,220.00,220.00,351.00,,,
Daman and Diu,"292,882.00",,78.20,"228,447.00",82.30,"241,041.00",0.11,"32,217.00",,280.00,290.00,290.00,,,
Delhi,"16,787,941.00",,81.70,"1,507,446.70",81.90,"1,511,136.90",0.86,"15,867.86",,"58,222.00","67,268.00","66,686.00",,INC,Manmohan Singh
Goa,"1,458,545.00",,82.00,"144,894.00",84.40,"149,134.80",0.11,194.37,,"4,063.00","4,038.00","4,196.00",,INC,Shri Digambar Kamat
