,SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,GraveCrimes,PettyCrimes,CrimeRatio
0,1,A&N ISLANDS_2009,38.0,5.0,7.0,0.0,16.0,5.0,11.0,0.0,0.0,17.0,121.0,10.0,111.0,86.0,5.0,6.0,0.0,7.0,114.0,0.0,40.0,8.0,35.0,0.0,1.0,417.0,71.0,1060.0,0.0669811320754717
0,1,A&N ISLANDS_2010,7.0,39.0,5.0,39.0,0.0,39.0,18.0,11.0,7.0,0.0,0.0,9.0,66.0,89.0,15.0,74.0,51.0,8.0,29.0,0.0,10.0,105.0,0.0,40.0,14.0,12.0,129.0,687.0,0.18777292576419213
0,1,A&N ISLANDS_2011,18.0,19.0,4.0,28.0,0.0,28.0,16.0,14.0,2.0,0.0,0.0,7.0,59.0,61.0,4.0,57.0,42.0,5.0,39.0,0.0,4.0,106.0,0.0,15.0,7.0,8.0,97.0,543.0,0.17863720073664824
1,2,ANDHRA PRADESH_2009,4604.0,3065.0,240.0,0.0,2521.0,1889.0,632.0,465.0,153.0,884.0,18434.0,4862.0,13572.0,12232.0,1119.0,6874.0,289.0,1230.0,65042.0,1220.0,5441.0,4178.0,19018.0,0.0,11301.0,68539.0,12319.0,247804.0,0.04971267614727769
1,2,ANDHRA PRADESH_2010,4239.0,3173.0,266.0,1761.0,0.0,1761.0,2543.0,1722.0,821.0,490.0,18.0,1048.0,6543.0,20808.0,4600.0,16208.0,9455.0,1025.0,8823.0,237.0,972.0,68228.0,1322.0,4622.0,3820.0,21572.0,11200.0,186077.0,0.060190136341407054
1,2,ANDHRA PRADESH_2011,5584.0,4239.0,286.0,1758.0,0.0,1758.0,2461.0,1698.0,763.0,674.0,27.0,1179.0,6591.0,22543.0,5494.0,17049.0,11590.0,1276.0,7548.0,284.0,1186.0,73852.0,1400.0,4554.0,4122.0,20719.0,13625.0,198635.0,0.06859314823671558
2,3,ARUNACHAL PRADESH_2009,83.0,48.0,4.0,0.0,61.0,38.0,23.0,47.0,0.0,53.0,333.0,45.0,288.0,140.0,24.0,40.0,4.0,25.0,739.0,0.0,70.0,2.0,12.0,0.0,71.0,831.0,234.0,2981.0,0.07849714860784972
2,3,ARUNACHAL PRADESH_2010,103.0,58.0,3.0,49.0,0.0,49.0,81.0,48.0,33.0,33.0,0.0,116.0,176.0,376.0,109.0,267.0,100.0,42.0,92.0,0.0,30.0,595.0,0.0,88.0,1.0,11.0,262.0,2460.0,0.10650406504065041
2,3,ARUNACHAL PRADESH_2011,62.0,27.0,3.0,47.0,0.0,47.0,100.0,67.0,33.0,22.0,0.0,100.0,150.0,320.0,92.0,228.0,45.0,41.0,79.0,2.0,31.0,578.0,0.0,69.0,0.0,16.0,186.0,2159.0,0.08615099583140343
3,4,ASSAM_2009,1866.0,559.0,56.0,0.0,2875.0,2392.0,483.0,915.0,77.0,1145.0,9988.0,1133.0,8855.0,8688.0,900.0,1134.0,134.0,877.0,9487.0,297.0,1614.0,15.0,5753.0,1.0,2639.0,16705.0,7748.0,78588.0,0.09859011553926808
