SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30
1,ANDHRA PRADESH,4604,3065,240,1487,0,1487,2521,1889,632,465,153,884,6584,18434,4862,13572,12232,1119,6874,289,1230,65042,1220,5441,4178,19018,0,11301,68539,234920
2,ARUNACHAL PRADESH,83,48,4,60,0,60,61,38,23,47,0,53,170,333,45,288,140,24,40,4,25,739,0,70,2,12,0,71,831,2817
3,ASSAM,1866,559,56,1644,0,1644,2875,2392,483,915,77,1145,4258,9988,1133,8855,8688,900,1134,134,877,9487,297,1614,15,5753,1,2639,16705,71627
4,BIHAR,5394,6169,385,1086,0,1086,4727,2397,2330,1994,304,2873,2685,8683,2917,5766,38032,1554,3048,127,1120,26915,2908,795,16,4939,17,3455,87779,205005
5,CHHATTISGARH,1739,1350,31,1128,0,1128,373,267,106,406,80,891,2772,3560,864,2696,5409,167,848,45,324,16261,353,1817,235,2462,0,1970,24849,67070
6,GOA,88,88,12,56,0,56,40,18,22,16,0,51,248,430,115,315,305,46,120,7,34,316,3,35,10,46,0,185,988,3124
7,GUJARAT,2130,2199,39,610,0,610,1848,1494,354,1016,60,1452,3230,10263,3734,6529,10566,1986,1585,110,457,20253,53,1025,188,17595,0,3854,74160,154679
8,HARYANA,1842,1685,103,848,0,848,909,530,379,540,1031,1214,2835,5855,2871,2984,5465,610,1385,50,175,10220,633,553,717,3661,0,1125,25696,67152
9,HIMACHAL PRADESH,191,146,26,250,0,250,148,102,46,28,0,39,513,605,147,458,3002,108,214,4,84,1919,3,345,40,648,0,383,10303,18999
10,JAMMU & KASHMIR,432,947,20,303,0,303,725,696,29,10,0,110,762,3148,263,2885,5837,129,470,52,123,727,46,2044,512,469,0,337,16216,33419
11,JHARKHAND,1975,1816,110,765,0,765,836,397,439,788,160,779,634,3862,1437,2425,7499,519,826,35,240,6023,562,327,38,1560,20,956,21228,51558
12,KARNATAKA,3287,3978,112,595,0,595,1094,506,588,868,1570,1812,3346,7010,2283,4727,25783,358,2771,118,375,30678,666,3159,40,5784,0,452,56125,149981
13,KERALA,710,1176,157,694,0,694,436,202,234,586,852,1113,2408,4439,1370,3069,36777,240,2801,102,485,27732,32,3238,456,5828,0,51,71703,162016
14,MADHYA PRADESH,5265,6401,218,4243,6,4237,1630,1060,570,701,835,3430,6682,13216,3762,9454,16364,685,2347,66,1233,84031,2474,7567,1047,11182,2,5702,156657,331978
15,MAHARASHTRA,5904,6532,163,2075,0,2075,2043,1388,655,4062,1366,5023,12497,30620,7130,23490,54341,2465,8731,300,1637,55593,1233,3938,1337,29493,0,9162,56238,294753
16,MANIPUR,85,103,0,22,0,22,119,95,24,0,173,0,30,74,24,50,41,8,64,1,14,199,0,40,1,25,0,0,443,1442
17,MEGHALAYA,130,33,9,110,0,110,58,17,41,119,0,65,91,326,60,266,4,23,34,7,35,118,0,42,1,6,2,59,405,1677
18,MIZORAM,29,15,10,81,1,80,4,0,4,0,0,4,313,802,77,725,2,29,71,20,29,151,0,78,1,4,0,36,360,2039
19,NAGALAND,27,31,5,27,0,27,73,8,65,4,0,96,45,260,31,229,5,8,82,4,2,66,0,13,0,0,0,15,340,1103
20,ODISHA,1859,2037,66,1119,0,1119,1013,814,199,1491,380,2110,2300,6263,1889,4374,8190,424,1166,49,689,10308,857,3589,297,2915,0,3402,30071,80595
