SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30
1,A&N ISLANDS,18,19,4,28,0,28,16,14,2,0,0,7,59,61,4,57,42,5,39,0,4,106,0,15,7,8,0,4,386,828
2,ANDHRA PRADESH,5584,4239,286,1758,0,1758,2461,1698,763,674,27,1179,6591,22543,5494,17049,11590,1276,7548,284,1186,73852,1400,4554,4122,20719,0,11837,54854,238564
3,ARUNACHAL PRADESH,62,27,3,47,0,47,100,67,33,22,0,100,150,320,92,228,45,41,79,2,31,578,0,69,0,16,0,86,534,2312
4,ASSAM,1666,554,48,1470,0,1470,3279,2838,441,820,21,985,3228,8348,1008,7340,10123,823,1304,130,831,8159,146,1794,26,4894,2,2413,16082,67146
5,BIHAR,8898,8192,562,1185,1,1184,5721,3565,2156,1510,521,1899,2301,8580,2574,6006,63532,3209,5435,91,1206,37623,3900,1036,9,5134,26,5604,86175,252349
6,CHANDIGARH,65,107,3,27,0,27,50,33,17,23,8,119,146,645,289,356,165,18,206,0,4,52,3,24,11,24,0,12,978,2690
7,CHHATTISGARH,1683,1297,41,1257,0,1257,500,372,128,235,42,692,2452,2955,795,2160,5064,229,1038,61,278,19195,287,1948,250,2200,7,1969,30337,74017
8,D&N HAVELI,24,14,0,4,0,4,7,3,4,18,0,0,44,84,30,54,125,14,33,0,5,31,0,2,1,4,0,26,132,568
9,DAMAN & DIU,7,1,0,0,0,0,8,8,0,24,0,12,26,23,13,10,119,2,22,0,0,23,0,0,0,0,0,32,31,330
10,DELHI,974,800,95,707,0,707,736,503,233,183,125,1301,1351,9471,4045,5426,278,227,1996,43,22,3314,246,865,165,860,0,709,15546,40014
11,GOA,87,62,4,34,0,34,45,16,29,5,0,45,298,463,140,323,323,25,114,27,27,342,2,28,16,21,0,231,1120,3319
12,GUJARAT,2408,1788,76,621,0,621,2235,1888,347,1137,154,1654,3377,9509,3575,5934,12280,2355,2604,69,585,23396,62,1051,168,18141,0,4580,79001,167251
13,HARYANA,1999,1895,75,801,0,801,860,548,312,511,546,910,3112,7517,4412,3105,4073,787,1797,26,189,7849,457,534,564,3533,0,1227,23446,62708
14,HIMACHAL PRADESH,186,115,14,187,0,187,145,134,11,5,0,31,635,864,227,637,2613,98,297,11,89,1708,8,373,56,507,0,324,9222,17488
15,JAMMU & KASHMIR,328,1623,58,349,0,349,978,894,84,29,0,131,820,3765,349,3416,9765,274,681,69,361,548,12,2759,458,617,0,377,19574,43576
16,JHARKHAND,2038,1804,95,758,0,758,1361,901,460,703,139,806,831,3666,1029,2637,7546,419,991,20,168,7060,536,340,16,1346,1,1202,19223,51069
17,KARNATAKA,3404,5156,102,837,0,837,1332,703,629,775,1770,2007,3599,7556,2882,4674,29898,518,4571,79,174,34671,642,3381,44,6801,2,731,58736,166786
18,KERALA,733,1337,134,1226,0,1226,349,230,119,348,630,873,1860,3475,970,2505,40519,200,3860,40,286,30747,25,4257,598,7305,0,78,112891,211771
19,LAKSHADWEEP,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,47,0,0,0,0,4,0,0,0,0,0,0,18,76
20,MADHYA PRADESH,5317,6483,190,4593,0,4593,1952,1473,479,497,604,2876,6214,11928,3693,8235,14075,729,2513,23,1337,69731,2144,7904,850,10313,178,6509,178684,335644
21,MAHARASHTRA,6193,8361,312,2533,0,2533,2764,1954,810,3777,1422,5889,13404,33298,7796,25502,54706,2820,10605,247,1490,58803,1261,4704,1300,26325,0,9689,59853,309756
22,MANIPUR,94,112,1,24,0,24,120,94,26,0,136,3,22,189,76,113,70,8,47,1,6,119,5,24,1,22,0,10,435,1449
23,MEGHALAYA,156,33,2,128,0,128,77,18,59,70,0,69,83,389,53,336,13,24,114,23,12,190,3,58,0,34,2,73,582,2135
24,MIZORAM,28,20,9,74,0,74,10,0,10,6,0,14,193,676,28,648,0,19,54,2,10,124,0,63,0,7,0,16,276,1601
25,NAGALAND,27,52,6,27,0,27,51,3,48,10,0,61,61,251,48,203,0,25,34,10,3,59,0,12,0,1,0,10,367,1067
26,ODISHA,2340,2512,100,1224,0,1224,1315,1107,208,1966,461,2541,2594,7789,2257,5532,9438,409,1450,26,691,11567,858,4541,313,3739,3,3794,27458,87129
27,PUDUCHERRY,138,76,35,29,0,29,24,10,14,47,55,19,44,235,57,178,858,7,39,0,3,1097,5,77,20,21,0,216,2544,5589
28,PUNJAB,1550,2402,130,598,0,598,880,589,291,99,731,412,2161,4480,1755,2725,0,367,4323,109,139,8740,364,402,34,2229,0,2866,12407,45423
29,RAJASTHAN,2378,3839,160,1642,0,1642,2159,1461,698,145,357,1102,3093,8178,3257,4921,3556,302,5644,87,767,32011,673,2740,13,9791,0,6799,95971,181407
