SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,Incidence of Rash Driving,HumanTrafficking,Unnatural Offence,Other IPC crimes
1,Andaman and Nicobar,14,15,1,2,30,0,26,0,0,5,58,64,0,8,5,76,1,0,9,27,0,46,2,7,0,23,0,0,0,0,221,0,0,162
2,ANDHRA PRADESH,1123,1795,83,0,994,190,917,63,2,315,4405,13856,303,657,764,4877,228,62,519,604,193,4829,1831,6461,0,7978,1,14,510,0,17795,32,7,35366
3,ARUNACHAL PRADESH,46,46,6,0,92,15,112,10,0,63,222,510,1,8,33,107,24,3,31,235,1,109,10,50,0,105,2,1,100,0,132,1,2,457
4,ASSAM,1149,1257,34,17,1779,370,6126,156,4,940,4886,12955,913,1671,1767,4171,515,66,664,9844,157,3378,34,9321,0,2625,21,1,1346,0,4570,90,14,31409
5,BIHAR,2581,6998,150,1364,1008,321,7324,349,62,1410,4511,22228,1796,11617,1361,5889,1358,20,472,12040,987,324,167,3794,0,4479,8,8,1251,0,5240,25,24,64997
6,CHANDIGARH,26,40,6,4,68,4,180,5,0,54,141,918,0,40,22,188,0,0,8,41,4,76,13,122,0,132,0,0,2,0,300,1,8,593
7,CHHATTISGARH,957,690,37,1,1626,20,2071,60,8,379,3209,5450,57,652,139,1068,40,35,341,786,84,1770,101,622,0,3830,0,0,66,0,9936,46,22,20926
8,D&N HAVELI,5,2,0,0,14,0,10,3,0,1,22,29,0,9,6,13,0,0,2,13,0,1,1,6,0,48,0,0,2,0,30,0,0,27
9,DAMAN & DIU,4,3,1,2,12,0,21,1,0,2,20,42,0,9,3,21,2,0,2,10,0,4,2,8,0,34,0,0,3,0,33,2,1,29
10,DELHI,528,646,54,845,2155,29,6619,46,5,4761,14307,130928,0,79,559,5396,392,80,183,529,162,4165,918,3877,0,1856,2,0,226,2,10639,31,182,19318
11,GOA,30,18,12,0,61,0,106,7,0,14,168,463,20,117,39,141,15,4,17,85,2,143,32,23,0,229,0,0,2,0,511,35,1,397
12,GUJARAT,1120,986,73,6,982,5,2784,323,24,1155,4384,13791,306,1659,1330,1693,364,76,242,2481,12,1224,59,3732,0,7306,0,9,294,1,16235,0,37,84429
13,HARYANA,1057,889,42,6,1187,137,3932,177,89,734,6937,21741,0,2844,1184,3155,760,24,1070,2052,260,1860,124,3313,0,4879,14,16,320,0,6667,12,120,22925
14,HIMACHAL PRADESH,101,66,3,1,252,3,290,3,0,11,555,480,44,395,119,346,38,4,94,371,3,410,49,214,0,853,1,0,9,0,2371,0,14,6286
15,JAMMU & KASHMIR,142,574,22,0,256,17,810,6,0,59,1232,1820,0,3410,78,538,19,7,268,184,6,1235,153,342,0,674,16,5,0,0,4859,0,23,7746
16,JHARKHAND,1514,885,31,6,1109,179,1309,210,12,551,1406,7285,516,1721,292,2254,565,8,143,1364,278,667,13,1002,0,1932,0,1,585,0,2001,160,7,12704
17,KARNATAKA,1573,2607,77,74,1655,16,2916,329,509,2157,5987,20687,49,6263,395,7117,372,96,471,1272,234,5260,160,2556,0,10643,6,22,221,2,34194,20,8,40454
18,KERALA,305,622,132,2008,1656,42,241,71,51,908,2579,3936,653,5089,274,4623,277,43,554,1895,25,4029,328,3455,0,3456,11,50,49,3,34258,24,207,188243
19,LAKSHADWEEP,0,1,0,0,5,0,0,0,0,0,1,8,2,0,0,1,0,0,5,0,0,1,1,2,0,1,0,1,0,0,0,0,0,7
20,MADHYA PRADESH,2004,2178,136,76,4882,63,7123,125,189,1602,10806,28663,4,1665,498,1957,344,26,800,5403,629,8717,358,6264,0,9412,2,26,185,1,42245,54,128,127853
21,MAHARASHTRA,2299,2619,184,3,4189,12,9332,656,255,6030,14834,59097,764,7898,2036,9792,1056,124,1338,7645,248,11396,924,7215,1,13116,0,35,788,0,28397,18,167,69246
22,MANIPUR,78,211,4,2,55,3,145,1,1,15,69,801,1,119,18,88,24,7,59,219,0,65,5,29,0,60,8,0,65,0,479,2,0,537
23,MEGHALAYA,108,83,5,0,190,15,156,31,0,87,219,871,0,1,63,197,55,9,29,113,0,68,17,26,0,114,42,4,105,0,144,1,0,613
24,MIZORAM,29,17,8,0,23,0,6,6,0,4,678,961,1,3,31,71,11,6,27,118,0,71,1,19,0,49,0,0,15,0,23,0,0,247
25,NAGALAND,36,50,14,0,26,3,91,2,0,32,105,478,0,7,22,57,59,2,3,37,1,14,8,3,0,35,5,0,151,0,28,0,0,107
26,ODISHA,1328,2778,16,0,1983,161,3046,456,110,2012,4004,9044,97,1914,449,3197,88,22,524,4476,397,8252,437,2781,0,4254,18,2,635,0,6348,110,33,22488
27,PUDUCHERRY,33,12,2,0,6,0,15,2,0,8,40,536,25,33,14,77,8,5,1,75,0,43,3,15,0,246,0,0,17,0,1568,0,0,1302
28,PUNJAB,771,862,120,59,838,95,1591,43,170,147,2976,5982,0,0,285,3947,17,22,78,2213,80,1025,10,1568,0,3582,0,0,65,0,2576,14,89,10782
29,RAJASTHAN,1551,1632,81,133,3656,340,5299,66,79,970,5301,27406,2957,293,406,18602,4550,31,370,1335,462,4839,15,13811,0,9429,2,22,202,0,12860,4,33,63661
30,SIKKIM,17,17,1,0,92,2,12,0,0,5,76,93,0,12,6,52,3,0,17,40,0,34,11,2,0,64,0,0,1,0,149,0,2,101
31,TAMIL NADU,1603,2666,36,4,319,17,1223,109,83,1680,4535,12128,731,2002,122,3093,185,99,513,612,58,854,27,1256,0,16661,0,33,1387,0,55114,12,0,72734
32,TRIPURA,145,58,2,0,207,16,139,1,0,22,142,244,0,78,30,79,33,4,34,925,19,214,1,430,0,170,0,1,23,0,392,1,1,522
33,UTTAR PRADESH,4889,5109,1272,1849,4816,1958,15898,284,73,4502,7503,56550,605,8018,3912,10553,1141,159,1325,12624,2473,11335,35,11156,0,17916,9,119,1863,1,19165,43,999,74017
34,UTTARAKHAND,194,212,29,2,336,6,789,17,5,128,418,1823,0,481,161,888,195,45,9,65,57,344,3,392,1,595,1,22,18,0,897,6,8,2720
35,WEST BENGAL,2044,11973,392,1058,1110,1646,6035,115,1320,472,276,19902,491,2691,1646,6893,797,327,523,18119,535,4177,449,19302,10,6378,7,53,748,1,11656,133,39,55251
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL ,29425,48637,3100,7555,37674,5720,86703,3768,3086,31265,106989,481741,10371,61490,18099,101176,13570,1451,10771,87860,7402,80968,6335,103204,47,133176,211,480,11289,46,331847,912,2211,1038529
