SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Andaman and Nicobar,13,0,32,20,2,18,0,0,0,12,0,0,9,4,0,0,112,70,20,27,12,11,0,42,29,8,0,0,1,4,0,1,25,12,6,0,1,0,5,2,1,4,27,20,12,8,0,0,0,0,0,0,7,0,0,0,0,13,0,0,236,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,7,32,3,29,38,16,22,0,0,0,0,0,0,0,0,6,0,76,0,0,0,0,0,16,4,0,0,0,4,8,4,16,0,0,0,0,210,8,140,62,1,1,0,0,0,2,5,2,1,0,0,3,225,4
2,ANDHRA PRADESH,870,183,7602,7350,458,6892,10,8,0,234,112,518,1536,7,345,50,21042,19573,2514,15085,902,1011,61,1469,156,608,6,4,36,658,1,1322,4444,2396,891,22,35,60,774,265,111,781,902,630,88,542,3,7,15,105,48,1,93,36,79,0,0,1086,177,11,40322,0,0,0,0,124,492,0,3,2,110,0,0,2,11,8,70,16,24,0,0,31,215,131,131,0,902,1649,11301,3845,7456,3857,756,3101,331,310,21,40,40,0,12,74,932,82,16960,54,0,0,0,54,7820,1764,330,99,127,1208,5720,336,7874,3373,2504,0,1490,17286,5677,8195,3414,9,5,172,12,69,160,473,3506,7851,45,2518,1892,41365,11059
3,ARUNACHAL PRADESH,60,8,119,94,30,64,0,0,0,25,1,4,52,0,1,1,384,219,160,28,9,1,21,165,100,59,0,0,1,1,4,0,80,55,16,0,0,0,16,4,1,4,117,67,7,60,0,0,7,11,6,0,26,3,0,0,0,63,2,1,896,1,0,1,1,5,60,3,0,0,19,0,0,1,0,0,1,0,0,0,0,2,34,0,0,0,0,65,489,223,266,163,7,156,94,76,0,15,15,0,0,0,18,0,855,0,0,0,0,0,124,9,6,1,0,2,99,16,124,4,16,0,1,134,16,28,90,0,1,0,0,3,5,59,36,54,0,13,6,332,317
4,ASSAM,1235,54,3493,2835,988,1847,26,2,0,630,156,123,1366,0,1,42,20281,9803,5293,2377,183,552,1398,10478,5996,3553,8,3,211,239,468,1188,4619,2129,781,89,0,0,692,1266,171,272,9432,2374,719,1655,15,29,54,3831,1415,0,1714,200,4,2,0,1773,400,7,44376,32,17,15,32,749,1033,18,0,0,0,0,6,0,0,0,672,76,43,0,58,15,145,116,116,0,0,1898,16478,4943,11535,4945,520,4425,1463,1944,20,198,193,5,8,1,2570,24,27651,82,4,0,0,78,7260,472,51,62,36,323,5887,901,7342,54,57,0,0,5582,626,1524,3432,4,0,744,22,304,31,627,1947,11943,4,908,385,22612,19601
5,BIHAR,3138,56,7178,7040,1768,5272,1,31,66,40,1120,19,7462,784,18,0,97497,86922,65403,20680,538,170,131,10575,9355,866,15,0,60,100,179,887,312,192,72,0,23,0,49,35,4,9,10707,2031,1303,728,3,57,43,7114,1,0,1458,26,1,0,0,730,110,18,130063,0,0,0,0,33,7262,135,29,0,62,131,940,50,184,352,3707,839,460,8,1,63,301,5,5,0,0,7300,34971,22012,12959,4599,12,4587,856,2398,1,391,388,3,63,4,1103,882,45268,28,5,0,0,23,8007,1243,62,660,147,374,5569,1195,8035,440,109,0,5,3513,444,2127,942,0,0,0,5,6,6,271,290,2397,21,8,11,7082,187
6,CHANDIGARH,26,1,82,77,21,56,0,0,5,0,6,1,34,5,1,7,127,104,34,30,33,7,0,23,19,3,0,0,0,1,0,0,66,27,12,2,0,0,10,3,1,23,177,135,128,7,0,0,0,32,0,0,10,1,0,0,0,112,2,12,660,0,0,0,0,0,46,0,0,0,0,0,0,4,2,0,2,8,18,0,0,3,9,0,0,0,2,48,908,588,320,125,38,87,3,33,0,4,4,0,0,1,10,17,1101,0,0,0,0,0,150,35,5,0,0,30,112,3,150,0,148,0,0,227,27,188,12,104,0,8,2,0,0,4,24,177,1,0,15,710,150
7,CHHATTISGARH,913,32,4954,4421,1993,2428,0,0,0,533,76,216,617,0,14,81,18412,17330,14867,1532,146,642,143,1082,764,110,1,0,197,10,0,228,1316,1050,113,2,0,0,111,51,16,86,2638,2113,1156,957,0,8,5,425,2,0,85,42,5,0,0,1036,9,13,30602,1,1,0,1,52,615,0,0,5,14,3,30,2,1,0,14,4,11,0,0,12,519,12,12,0,2,681,7110,3217,3893,3788,410,3378,81,439,2,50,45,5,1,0,148,6,11625,13,0,0,0,13,1563,481,27,92,14,348,975,107,1576,4,32,0,0,8735,1899,5868,968,413,0,232,57,2,17,291,267,732,10,1397,232,12421,4350
8,D&N HAVELI,7,0,61,48,36,12,0,0,0,13,3,0,2,1,0,0,17,8,6,2,0,0,0,9,7,1,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,1,9,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,103,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,11,23,12,11,18,6,12,3,3,1,0,0,0,0,0,3,0,51,1,0,0,0,1,22,0,0,0,0,0,19,3,23,0,1,0,0,20,2,0,18,0,0,1,0,0,0,1,2,3,0,0,0,28,10
9,DAMAN & DIU,6,0,32,23,6,17,0,0,0,9,2,0,9,5,0,0,19,13,9,3,1,0,0,6,3,1,0,0,2,0,0,2,5,1,1,0,0,0,1,0,0,3,26,24,22,2,0,0,0,1,0,0,1,0,0,0,0,4,0,0,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,5,64,20,44,32,9,23,2,6,0,0,0,0,0,0,6,0,110,0,0,0,0,0,24,4,3,0,0,1,18,2,24,0,0,0,0,46,7,16,23,0,0,0,0,0,0,1,1,4,0,0,3,55,18
10,DELHI,521,79,1676,1433,676,757,0,2,2,239,116,76,487,627,9,96,4643,4116,2671,858,221,246,120,527,331,123,10,10,3,50,0,21,2355,1113,439,21,10,3,405,381,33,389,5901,5528,2531,2997,1,0,15,7,0,0,350,60,3,0,0,1253,10,41,17974,1,1,0,1,0,23,1,1,0,0,0,0,1,0,0,0,1,0,0,2,10,7,4,4,0,41,68,245985,46215,199770,3026,977,2049,179,1956,23,15,15,0,7,1,315,41,251548,41,0,0,0,41,4533,1053,161,140,165,587,3038,442,4574,4,8891,1,0,4524,375,3839,310,4101,0,5,4,3,19,89,281,3792,5,62,456,22237,3073
11,GOA,33,2,195,184,25,159,0,0,0,11,1,4,33,0,1,4,340,264,24,174,48,16,2,76,21,47,0,2,0,6,0,24,119,47,36,1,2,0,33,6,4,26,71,52,31,21,0,0,0,1,0,0,18,28,6,0,0,72,0,3,936,0,0,0,0,15,103,0,3,0,0,0,0,0,1,0,29,0,42,0,1,0,27,0,0,0,0,118,515,208,307,124,31,93,7,11,0,3,3,0,0,0,31,0,691,3,0,0,0,3,131,37,7,1,1,28,89,5,134,1,15,0,0,329,18,131,180,0,1,0,4,1,9,10,51,9,0,110,37,577,9
