,Year,State_Name,Name,Start_Date,End_Date,Party
0,2005,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
1,2006,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
2,2007,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
3,2008,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
4,2009,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
5,2010,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
6,2011,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
7,2012,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
8,2013,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
9,2014,Andaman and Nicobar Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
10,2009,Chandigarh,Pawan Kumar Bansal,2009-05-22,2014-05-18,INC
11,2010,Chandigarh,Pawan Kumar Bansal,2009-05-22,2014-05-18,INC
12,2011,Chandigarh,Pawan Kumar Bansal,2009-05-22,2014-05-18,INC
13,2012,Chandigarh,Pawan Kumar Bansal,2009-05-22,2014-05-18,INC
14,2013,Chandigarh,Pawan Kumar Bansal,2009-05-22,2014-05-18,INC
15,2014,Chandigarh,Pawan Kumar Bansal,2009-05-22,2014-05-18,INC
16,2004,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
17,2005,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
18,2006,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
19,2007,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
20,2008,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
21,2009,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
22,2010,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
23,2011,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
24,2012,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
25,2013,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
26,2014,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
27,2009,Jammu and Kashmir,Omar Abdullah,2009-05-01,2015-08-01,JKNC
28,2010,Jammu and Kashmir,Omar Abdullah,2009-05-01,2015-08-01,JKNC
29,2011,Jammu and Kashmir,Omar Abdullah,2009-05-01,2015-08-01,JKNC
30,2012,Jammu and Kashmir,Omar Abdullah,2009-05-01,2015-08-01,JKNC
31,2013,Jammu and Kashmir,Omar Abdullah,2009-05-01,2015-08-01,JKNC
