Year,State_Name,Name,Start_Date,End_Date,Party
2009,A&N Islands,Bishnu Pada Roy,2005-01-07,2014-10-04,BJP
2009,Chandigarh,Pawan Kumar Bansal,2009-05-22,2014-05-18,INC
2009,Delhi,Manmohan Singh,2004-05-22,2014-05-25,INC
2009,Jammu and Kashmir,Omar Abdullah,2009-05-01,2015-08-01,JKNC
2009,Lakshadweep,Muhammed Hamdulla Sayeed,2009-05-18,2014-05-18,INC
2009,Puducherry,V. Vaithilingam,2008-04-09,2011-05-16,INC
2009,Andhra Pradesh,Dr.Y.S. Rajasekhara Reddy,2004-05-14,2009-05-19,INC
2009,Andhra Pradesh,Dr.Y.S. Rajasekhara Reddy,2009-05-19,2009-02-09,INC
2009,Andhra Pradesh,Sri. K. Rosaiah,2009-03-09,2010-11-24,INC
2009,Arunachal Pradesh,Dorjee Khandu,2007-10-04,2009-10-22,INC
2009,Arunachal Pradesh,Dorjee Khandu,2009-10-23,2011-04-05,INC
2009,Assam,Shri Tarun Gogoi,2006-12-05,2011-05-16,INC
2009,Bihar,Nitish Kumar,2005-11-24,2014-05-20,JD(U)
2009,Chhattisgarh,Raman Singh,2003-07-12,2018-12-17,BJP
2009,Goa,Shri Digambar Kamat,2007-08-06,2012-08-03,INC
2009,Gujarat,Shri Narendra Modi,2008-01-18,2013-01-22,BJP
2009,Haryana,Shri Bhupinder Singh Hooda,2005-05-03,2009-10-25,INC
2009,Haryana,Shri Bhupinder Singh Hooda,2009-10-25,2014-10-25,INC
2009,Himachal Pradesh,Prem Kumar Dhumal,2007-12-30,2012-12-25,BJP
2009,Jammu & Kashmir,Governor's Rule (Shri N N Vora),2008-11-07,2009-05-01,NONE
2009,Jammu & Kashmir,Shri Omar Abdullah,2009-05-01,2015-08-01,JKN
2009,Jharkhand,Shibu Soren,2009-12-30,2010-01-06,JMM
2009,Karnataka,Dr B.S.YEDDYURAPPA,2008-05-30,2011-04-08,BJP
2009,Kerala,Shri. V. S. Achuthanandan,2006-05-18,2011-05-14,CPM
2009,Madhya Pradesh,Shri Shivraj Singh Chouhan,2008-12-12,2013-12-13,BJP
2009,Maharashtra,Ashok Shankarrao Charan,2008-08-12,2010-09-11,INC
2009,Manipur,Okram Ibobi Singh,2002-07-03,2017-03-14,INC
2009,Meghalaya,Dr. Donkupar Roy,2008-03-19,2009-03-19,UDP
2009,Meghalaya,President's Rule,2009-03-19,2009-04-13,NONE
2009,Meghalaya,Shri D. D. Lapang,2009-05-13,2010-04-18,INC
2009,Mizoram,Lal Thanhawla,2008-10-12,2013-11-12,INC
2009,Nagaland,Neiphiu Rio,2008-12-03,2013-02-27,NPF
2009,Odisha,Shri Naveen Patnaik,2004-05-16,2009-05-21,BJD
2009,Odisha,Shri Naveen Patnaik,2009-05-21,2014-05-21,BJD
2009,Punjab,Parkash Singh Badal,2007-01-03,2017-03-16,BJP
2009,Rajasthan,Ashok Gehlot,2008-12-13,2013-12-13,INC
2009,Sikkim,Pawan Kumar Chamling,2004-05-21,2009-05-20,SDF
2009,Sikkim,Pawan Kumar Chamling,2009-05-20,2014-05-21,SDF
2009,Tamil Nadu,Dr. Kalaignar M. Karunanidhi,2006-05-13,2011-05-15,DMK
2009,Tripura,Manik Sarkar,2008-10-03,2013-01-03,CPM
2009,Uttar Pradesh,Ms. Mayawati,2007-05-13,2012-03-14,BSP
2009,Uttarakhand,Maj.General.B.C.Khanduri,2007-07-03,2009-06-26,BJP
2009,Uttarakhand,Dr.Ramesh Pokhriyal Nishank,2009-06-27,2011-10-09,BJP
2009,West Bengal,Buddhadeb Bhattacharya,2000-06-11,2011-05-13,CPI
