,SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,GraveCrimes,TotalCrimes,PettyCrimes,GraveCrimeRatio,PettyCrimeRatio
17,18,KERALA,733.0,1337.0,134.0,1226.0,0.0,1226.0,349.0,230.0,119.0,348.0,630.0,873.0,1860.0,3475.0,970.0,2505.0,40519.0,200.0,3860.0,40.0,286.0,30747.0,25.0,4257.0,598.0,7305.0,0.0,78.0,112891.0,7205.0,216821.0,209616.0,0.033230176043833395,0.9667698239561666
18,19,LAKSHADWEEP,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,47.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,80.0,77.0,0.0375,0.9625
13,14,HIMACHAL PRADESH,186.0,115.0,14.0,187.0,0.0,187.0,145.0,134.0,11.0,5.0,0.0,31.0,635.0,864.0,227.0,637.0,2613.0,98.0,297.0,11.0,89.0,1708.0,8.0,373.0,56.0,507.0,0.0,324.0,9222.0,1015.0,18684.0,17669.0,0.05432455576964248,0.9456754442303575
11,12,GUJARAT,2408.0,1788.0,76.0,621.0,0.0,621.0,2235.0,1888.0,347.0,1137.0,154.0,1654.0,3377.0,9509.0,3575.0,5934.0,12280.0,2355.0,2604.0,69.0,585.0,23396.0,62.0,1051.0,168.0,18141.0,0.0,4580.0,79001.0,12929.0,179616.0,166687.0,0.07198133796543738,0.9280186620345626
1,2,ANDHRA PRADESH,5584.0,4239.0,286.0,1758.0,0.0,1758.0,2461.0,1698.0,763.0,674.0,27.0,1179.0,6591.0,22543.0,5494.0,17049.0,11590.0,1276.0,7548.0,284.0,1186.0,73852.0,1400.0,4554.0,4122.0,20719.0,0.0,11837.0,54854.0,20427.0,265326.0,244899.0,0.07698830872210036,0.9230116912778996
28,29,RAJASTHAN,2378.0,3839.0,160.0,1642.0,0.0,1642.0,2159.0,1461.0,698.0,145.0,357.0,1102.0,3093.0,8178.0,3257.0,4921.0,3556.0,302.0,5644.0,87.0,767.0,32011.0,673.0,2740.0,13.0,9791.0,0.0,6799.0,95971.0,15583.0,193386.0,177803.0,0.08057977309629445,0.9194202269037055
26,27,PUDUCHERRY,138.0,76.0,35.0,29.0,0.0,29.0,24.0,10.0,14.0,47.0,55.0,19.0,44.0,235.0,57.0,178.0,858.0,7.0,39.0,0.0,3.0,1097.0,5.0,77.0,20.0,21.0,0.0,216.0,2544.0,476.0,5877.0,5401.0,0.08099370427088651,0.9190062957291135
19,20,MADHYA PRADESH,5317.0,6483.0,190.0,4593.0,0.0,4593.0,1952.0,1473.0,479.0,497.0,604.0,2876.0,6214.0,11928.0,3693.0,8235.0,14075.0,729.0,2513.0,23.0,1337.0,69731.0,2144.0,7904.0,850.0,10313.0,178.0,6509.0,178684.0,29057.0,354117.0,325060.0,0.08205480109681264,0.9179451989031874
30,31,TAMIL NADU,4128.0,8254.0,31.0,837.0,0.0,837.0,2153.0,1778.0,375.0,436.0,38.0,2439.0,3781.0,12709.0,3106.0,9603.0,16552.0,287.0,3708.0,120.0,700.0,37934.0,336.0,2092.0,490.0,2879.0,0.0,13064.0,109156.0,21306.0,237823.0,216517.0,0.08958763450128877,0.9104123654987112
10,11,GOA,87.0,62.0,4.0,34.0,0.0,34.0,45.0,16.0,29.0,5.0,0.0,45.0,298.0,463.0,140.0,323.0,323.0,25.0,114.0,27.0,27.0,342.0,2.0,28.0,16.0,21.0,0.0,231.0,1120.0,361.0,3861.0,3500.0,0.0934990934990935,0.9065009065009065
6,7,CHHATTISGARH,1683.0,1297.0,41.0,1257.0,0.0,1257.0,500.0,372.0,128.0,235.0,42.0,692.0,2452.0,2955.0,795.0,2160.0,5064.0,229.0,1038.0,61.0,278.0,19195.0,287.0,1948.0,250.0,2200.0,7.0,1969.0,30337.0,7504.0,78729.0,71225.0,0.09531430603716547,0.9046856939628345
14,15,JAMMU & KASHMIR,328.0,1623.0,58.0,349.0,0.0,349.0,978.0,894.0,84.0,29.0,0.0,131.0,820.0,3765.0,349.0,3416.0,9765.0,274.0,681.0,69.0,361.0,548.0,12.0,2759.0,458.0,617.0,0.0,377.0,19574.0,4823.0,48668.0,43845.0,0.09910002465685872,0.9008999753431413
16,17,KARNATAKA,3404.0,5156.0,102.0,837.0,0.0,837.0,1332.0,703.0,629.0,775.0,1770.0,2007.0,3599.0,7556.0,2882.0,4674.0,29898.0,518.0,4571.0,79.0,174.0,34671.0,642.0,3381.0,44.0,6801.0,2.0,731.0,58736.0,17552.0,176511.0,158959.0,0.09943856190265762,0.9005614380973423
23,24,MIZORAM,28.0,20.0,9.0,74.0,0.0,74.0,10.0,0.0,10.0,6.0,0.0,14.0,193.0,676.0,28.0,648.0,0.0,19.0,54.0,2.0,10.0,124.0,0.0,63.0,0.0,7.0,0.0,16.0,276.0,245.0,2361.0,2116.0,0.10376958915713681,0.8962304108428631
20,21,MAHARASHTRA,6193.0,8361.0,312.0,2533.0,0.0,2533.0,2764.0,1954.0,810.0,3777.0,1422.0,5889.0,13404.0,33298.0,7796.0,25502.0,54706.0,2820.0,10605.0,247.0,1490.0,58803.0,1261.0,4704.0,1300.0,26325.0,0.0,9689.0,59853.0,36548.0,348351.0,311803.0,0.10491716688053142,0.8950828331194686
29,30,SIKKIM,7.0,5.0,16.0,25.0,0.0,25.0,6.0,6.0,0.0,0.0,0.0,2.0,27.0,86.0,5.0,81.0,89.0,8.0,15.0,6.0,4.0,155.0,0.0,17.0,0.0,4.0,0.0,46.0,200.0,92.0,835.0,743.0,0.11017964071856287,0.8898203592814371
7,8,D&N HAVELI,24.0,14.0,0.0,4.0,0.0,4.0,7.0,3.0,4.0,18.0,0.0,0.0,44.0,84.0,30.0,54.0,125.0,14.0,33.0,0.0,5.0,31.0,0.0,2.0,1.0,4.0,0.0,26.0,132.0,78.0,663.0,585.0,0.11764705882352941,0.8823529411764706
9,10,DELHI,974.0,800.0,95.0,707.0,0.0,707.0,736.0,503.0,233.0,183.0,125.0,1301.0,1351.0,9471.0,4045.0,5426.0,278.0,227.0,1996.0,43.0,22.0,3314.0,246.0,865.0,165.0,860.0,0.0,709.0,15546.0,6364.0,50928.0,44564.0,0.1249607288721332,0.8750392711278668
12,13,HARYANA,1999.0,1895.0,75.0,801.0,0.0,801.0,860.0,548.0,312.0,511.0,546.0,910.0,3112.0,7517.0,4412.0,3105.0,4073.0,787.0,1797.0,26.0,189.0,7849.0,457.0,534.0,564.0,3533.0,0.0,1227.0,23446.0,9258.0,71886.0,62628.0,0.12878724647358317,0.8712127535264168
31,32,TRIPURA,306.0,107.0,0.0,258.0,0.0,258.0,153.0,113.0,40.0,28.0,0.0,153.0,161.0,478.0,29.0,449.0,601.0,51.0,120.0,14.0,31.0,2571.0,57.0,455.0,9.0,1776.0,0.0,250.0,2483.0,1416.0,10951.0,9535.0,0.12930325997625788,0.8706967400237421
4,5,BIHAR,8898.0,8192.0,562.0,1185.0,1.0,1184.0,5721.0,3565.0,2156.0,1510.0,521.0,1899.0,2301.0,8580.0,2574.0,6006.0,63532.0,3209.0,5435.0,91.0,1206.0,37623.0,3900.0,1036.0,9.0,5134.0,26.0,5604.0,86175.0,35394.0,267835.0,232441.0,0.132148524278007,0.8678514757219931
